,Difftastic_Mean
0,4.0
1,6.0
2,2.0
3,6.0
4,22.0
5,6.0
6,
7,9.0
8,3.0
9,4.0
10,72.0
11,24.0
12,1.0
13,4.0
14,4.0
15,3.0
16,6.0
17,5.0
18,9.0
19,10.0
20,9.0
21,9.0
22,136.0
23,75.0
24,6.0
25,9.0
26,20.0
27,4.0
28,18.0
29,2.0
30,4.0
31,3.0
32,4.0
33,14.0
34,4.0
35,7.0
36,107.0
37,3.0
38,1.0
39,6.0
40,2.0
41,3.0
42,3.0
43,6.0
44,3.0
45,9.0
46,11.0
47,3.0
48,1.0
49,5.0
50,2.0
51,6.0
52,1.0
53,75.0
54,2.0
55,20.0
56,8.0
57,1.0
58,10.0
59,10.0
60,4.0
61,4.0
62,18.0
63,14.0
64,5.0
65,1.0
66,8.0
67,3.0
68,149.0
69,36.0
70,4.0
71,10.0
72,2.0
73,6.0
74,9.0
75,3.0
76,20.0
77,6.0
78,9.0
79,5.0
80,8.0
81,3.0
82,2.0
83,6.0
84,6.0
85,62.0
86,6.0
87,2.0
88,3.0
89,2.0
90,1.0
91,2.0
92,1.0
93,35.0
94,9.0
95,2.0
96,1.0
97,2.0
98,1.0
99,10.0
100,2.0
101,8.0
102,2.0
103,10.0
104,2.0
105,10.0
106,6.0
107,7.0
108,5.0
109,6.0
110,35.0
111,32.0
112,17.0
113,8.0
114,2.0
115,4.0
116,3.0
117,1.0
118,10.0
119,10.0
120,1.0
121,1.0
122,10.0
123,5.0
124,2.0
125,2.0
126,1.0
127,20.0
128,45.0
129,8.0
130,6.0
131,60.0
132,10.0
133,12.0
134,9.0
135,
136,6.0
137,10.0
138,13.0
139,7.0
140,2.0
141,1.0
142,2.0
143,6.0
144,6.0
145,2.0
146,1.0
147,2.0
148,1.0
149,4.0
150,4.0
151,3.0
152,2.0
153,1.0
154,4.0
155,4.0
156,5.0
157,1.0
158,4.0
159,1.0
160,1.0
161,65.0
162,47.0
163,2.0
164,9.0
165,1.0
166,6.0
167,7.0
168,8.0
169,3.0
170,6.0
171,77.0
172,71.0
173,64.0
174,1.0
175,1.0
176,7.0
177,1.0
178,9.0
179,46.0
180,7.0
181,1.0
182,28.0
183,4.0
184,1.0
185,6.0
186,4.0
187,299.0
188,5.0
189,5.0
190,11.0
191,1.0
192,14.0
193,69.0
194,8.0
195,14.0
196,2.0
197,66.0
198,15.0
199,210.0
200,35.0
201,3.0
202,7.0
203,6.0
204,9.0
205,17.0
206,31.0
207,1.0
208,36.0
209,4.0
210,8.0
211,9.0
212,16.0
213,6.0
214,16.0
215,82.0
216,3.0
217,2.0
218,2.0
219,66.0
220,1.0
221,1.0
222,10.0
223,6.0
224,3.0
225,2.0
226,8.0
227,538.0
228,20.0
229,7.0
230,788.0
231,5.0
232,3.0
233,1.0
234,4.0
235,14.0
236,5.0
237,3.0
238,8.0
239,164.0
240,1.0
241,2.0
242,8.0
243,23.0
244,68.0
245,31.0
246,23.0
247,8.0
248,83.0
249,4.0
250,1.0
251,1.0
252,88.0
253,5.0
254,32.0
255,12.0
256,1.0
257,2.0
258,6.0
259,5.0
260,127.0
261,25.0
262,10.0
263,1.0
264,2.0
265,130.0
266,9.0
267,9.0
268,62.0
269,5.0
270,32.0
271,2.0
272,10.0
273,76.0
274,2.0
275,38.0
276,2.0
277,19.0
278,18.0
279,10.0
280,3.0
281,1.0
282,10.0
283,3.0
284,5.0
285,3.0
286,79.0
287,1.0
288,4.0
289,8.0
290,63.0
291,1.0
292,2.0
293,10.0
294,25.0
295,2.0
296,9.0
297,18.0
298,4.0
299,4.0
300,1.0
301,1.0
302,6.0
303,7.0
304,12.0
305,3.0
306,7.0
307,8.0
308,5.0
309,2.0
310,2.0
311,5.0
312,99.0
313,2.0
314,44.0
315,24.0
316,6.0
317,3.0
318,5.0
319,2.0
320,6.0
321,50.0
322,8.0
323,2.0
324,2.0
325,2.0
326,2.0
327,204.0
328,1.0
329,3.0
330,9.0
331,7.0
332,15.0
333,6.0
334,20.0
335,4.0
336,4.0
337,3.0
338,4.0
339,2.0
340,16.0
341,6.0
342,13.0
343,1.0
344,7.0
345,2.0
346,
347,4.0
348,5.0
349,6.0
350,34.0
351,21.0
352,386.0
353,10.0
354,3.0
355,7.0
356,4.0
357,3.0
358,61.0
359,115.0
360,2.0
361,6.0
362,1.0
363,4.0
364,8.0
365,3.0
366,8.0
367,5.0
368,206.0
369,4.0
370,1.0
371,1.0
372,10.0
373,1.0
374,1.0
375,9.0
376,6.0
377,2.0
378,4.0
379,16.0
380,6.0
381,3.0
382,5.0
383,5.0
384,1.0
385,9.0
386,6.0
387,95.0
388,59.0
389,7.0
390,7.0
391,2.0
392,1.0
393,1.0
394,1.0
395,3.0
396,2.0
