,SoliDiffy_Mean
0,2.0
1,6.0
2,2.0
3,5.0
4,7.0
5,10.0
6,22.0
7,41.0
8,3.0
9,4.0
10,12.0
11,2.0
12,1.0
13,4.0
14,4.0
15,8.0
16,1.0
17,5.0
18,9.0
19,18.0
20,9.0
21,11.0
22,8.0
23,7.0
24,6.0
25,9.0
26,10.0
27,8.0
28,1.0
29,2.0
30,25.0
31,5.0
32,12.0
33,4.0
34,6.0
35,7.0
36,5.0
37,2.0
38,6.0
39,6.0
40,4.0
41,3.0
42,3.0
43,10.0
44,3.0
45,33.0
46,13.0
47,8.0
48,3.0
49,2.0
50,4.0
51,6.0
52,1.0
53,1.0
54,5.0
55,14.0
56,12.0
57,6.0
58,10.0
59,15.0
60,8.0
61,4.0
62,10.0
63,11.0
64,9.0
65,1.0
66,12.0
67,3.0
68,8.0
69,1.0
70,4.0
71,11.0
72,6.0
73,10.0
74,10.0
75,10.0
76,100.0
77,15.0
78,11.0
79,13.0
80,8.0
81,21.0
82,2.0
83,6.0
84,9.0
85,22.0
86,3.0
87,2.0
88,3.0
89,2.0
90,1.0
91,6.0
92,1.0
93,2.0
94,1.0
95,6.0
96,2.0
97,8.0
98,5.0
99,15.0
100,6.0
101,4.0
102,6.0
103,15.0
104,6.0
105,2.0
106,3.0
107,7.0
108,8.0
109,7.0
110,8.0
111,1.0
112,10.0
113,8.0
114,4.0
115,4.0
116,2.0
117,1.0
118,20.0
119,14.0
120,6.0
121,1.0
122,13.0
123,5.0
124,1.0
125,2.0
126,1.0
127,10.0
128,6.0
129,8.0
130,10.0
131,4.0
132,14.0
133,9.0
134,15.0
135,10.0
136,10.0
137,5.0
138,10.0
139,13.0
140,6.0
141,6.0
142,8.0
143,4.0
144,4.0
145,2.0
146,1.0
147,2.0
148,1.0
149,1.0
150,4.0
151,8.0
152,6.0
153,1.0
154,4.0
155,8.0
156,5.0
157,2.0
158,4.0
159,1.0
160,1.0
161,5.0
162,22.0
163,1.0
164,9.0
165,1.0
166,10.0
167,13.0
168,8.0
169,3.0
170,8.0
171,9.0
172,10.0
173,20.0
174,7.0
175,1.0
176,6.0
177,3.0
178,9.0
179,2.0
180,11.0
181,1.0
182,4.0
183,4.0
184,1.0
185,11.0
186,2.0
187,3.0
188,5.0
189,9.0
190,29.0
191,5.0
192,1.0
193,6.0
194,8.0
195,1.0
196,1.0
197,8.0
198,2.0
199,7.0
200,1.0
201,2.0
202,11.0
203,14.0
204,9.0
205,2.0
206,10.0
207,2.0
208,14.0
209,8.0
210,4.0
211,15.0
212,2.0
213,2.0
214,8.0
215,7.0
216,3.0
217,2.0
218,2.0
219,4.0
220,2.0
221,1.0
222,10.0
223,6.0
224,3.0
225,2.0
226,8.0
227,12.0
228,14.0
229,7.0
230,14.0
231,7.0
232,3.0
233,6.0
234,4.0
235,7.0
236,7.0
237,18.0
238,16.0
239,8.0
240,1.0
241,3.0
242,8.0
243,10.0
244,8.0
245,12.0
246,2.0
247,12.0
248,8.0
249,4.0
250,5.0
251,1.0
252,10.0
253,9.0
254,8.0
255,14.0
256,5.0
257,2.0
258,8.0
259,5.0
260,6.0
261,1.0
262,5.0
263,1.0
264,2.0
265,20.0
266,9.0
267,65.0
268,4.0
269,45.0
270,8.0
271,1.0
272,3.0
273,8.0
274,6.0
275,4.0
276,5.0
277,8.0
278,2.0
279,15.0
280,3.0
281,1.0
282,5.0
283,3.0
284,5.0
285,3.0
286,7.0
287,2.0
288,5.0
289,12.0
290,9.0
291,1.0
292,2.0
293,1.0
294,5.0
295,2.0
296,8.0
297,12.0
298,4.0
299,12.0
300,1.0
301,1.0
302,1.0
303,11.0
304,1.0
305,3.0
306,23.0
307,13.0
308,10.0
309,2.0
310,1.0
311,6.0
312,20.0
313,6.0
314,8.0
315,74.0
316,7.0
317,3.0
318,40.0
319,6.0
320,18.0
321,5.0
322,15.0
323,3.0
324,8.0
325,2.0
326,2.0
327,9.0
328,2.0
329,21.0
330,53.0
331,7.0
332,9.0
333,6.0
334,2.0
335,8.0
336,7.0
337,7.0
338,2.0
339,2.0
340,12.0
341,6.0
342,15.0
343,6.0
344,5.0
345,8.0
346,1.0
347,4.0
348,11.0
349,11.0
350,4.0
351,6.0
352,11.0
353,1.0
354,3.0
355,12.0
356,4.0
357,7.0
358,8.0
359,7.0
360,2.0
361,6.0
362,1.0
363,8.0
364,9.0
365,3.0
366,4.0
367,5.0
368,13.0
369,8.0
370,1.0
371,1.0
372,10.0
373,1.0
374,5.0
375,9.0
376,2.0
377,2.0
378,12.0
379,8.0
380,10.0
381,24.0
382,10.0
383,3.0
384,2.0
385,7.0
386,11.0
387,1.0
388,2.0
389,11.0
390,7.0
391,8.0
392,1.0
393,1.0
394,1.0
395,3.0
396,2.0
397,1.0
398,2.0
399,18.0
400,5.0
401,9.0
402,10.0
403,7.0
404,11.0
405,12.0
406,4.0
407,3.0
408,14.0
409,2.0
410,11.0
411,4.0
412,4.0
413,1.0
414,10.0
415,5.0
416,7.0
417,1.0
418,5.0
419,11.0
420,13.0
421,8.0
422,20.0
423,1.0
424,2.0
425,10.0
426,2.0
427,12.0
428,4.0
429,6.0
430,6.0
431,6.0
432,8.0
433,1.0
434,9.0
435,1.0
436,5.0
437,2.0
438,2.0
439,12.0
440,13.0
441,8.0
442,1.0
443,8.0
444,9.0
445,1.0
446,10.0
447,7.0
448,1.0
449,30.0
450,8.0
451,9.0
452,9.0
453,8.0
454,8.0
455,42.0
456,7.0
457,15.0
458,3.0
459,7.0
460,14.0
461,4.0
462,12.0
463,2.0
464,9.0
465,1.0
466,3.0
467,8.0
468,11.0
469,10.0
470,13.0
471,6.0
472,1.0
473,2.0
474,6.0
475,18.0
476,10.0
477,4.0
478,1.0
479,8.0
480,4.0
481,10.0
482,7.0
483,2.0
484,5.0
485,2.0
486,8.0
487,16.0
488,25.0
489,3.0
490,7.0
491,11.0
492,11.0
493,2.0
494,9.0
495,4.0
496,3.0
497,11.0
498,2.0
499,5.0
500,6.0
501,2.0
502,8.0
503,6.0
504,1.0
505,1.0
506,22.0
507,3.0
508,7.0
509,2.0
510,6.0
511,10.0
512,12.0
513,2.0
514,2.0
515,3.0
516,2.0
517,12.0
518,1.0
519,14.0
520,8.0
521,5.0
522,8.0
523,3.0
524,20.0
525,12.0
526,6.0
527,1.0
528,32.0
529,2.0
530,1.0
531,6.0
532,3.0
533,14.0
534,5.0
535,2.0
536,5.0
537,5.0
538,4.0
539,3.0
540,4.0
541,1.0
542,2.0
543,2.0
544,1.0
545,2.0
546,8.0
547,8.0
548,2.0
549,22.0
550,9.0
551,13.0
552,9.0
553,7.0
554,2.0
555,2.0
556,31.0
557,12.0
558,6.0
559,4.0
560,6.0
561,1.0
562,46.0
563,12.0
564,1.0
565,2.0
566,8.0
567,2.0
568,5.0
569,12.0
570,8.0
571,1.0
572,1.0
573,4.0
574,6.0
575,23.0
576,16.0
577,1.0
578,2.0
579,5.0
580,3.0
581,9.0
582,2.0
583,2.0
584,6.0
585,7.0
586,8.0
587,2.0
588,10.0
589,5.0
590,2.0
591,1.0
592,15.0
593,1.0
594,4.0
595,3.0
596,4.0
597,10.0
598,4.0
599,1.0
600,1.0
601,3.0
602,25.0
603,8.0
604,2.0
605,2.0
606,1.0
607,6.0
608,4.0
609,7.0
610,18.0
611,1.0
612,7.0
613,2.0
614,33.0
615,13.0
616,14.0
617,3.0
618,9.0
619,9.0
620,2.0
621,1.0
622,10.0
623,2.0
624,4.0
625,10.0
626,11.0
627,5.0
628,3.0
629,2.0
630,6.0
631,9.0
632,1.0
633,3.0
634,2.0
635,2.0
636,6.0
637,18.0
638,4.0
639,1.0
640,6.0
641,6.0
642,1.0
643,4.0
644,6.0
645,4.0
646,6.0
647,12.0
648,18.0
649,3.0
650,10.0
651,1.0
652,3.0
653,9.0
654,6.0
655,1.0
656,6.0
657,4.0
658,2.0
659,18.0
660,3.0
661,7.0
662,12.0
663,4.0
664,12.0
665,10.0
666,2.0
667,1.0
668,1.0
669,8.0
670,7.0
671,2.0
672,5.0
673,8.0
674,16.0
675,6.0
676,8.0
677,1.0
678,6.0
679,4.0
680,8.0
681,4.0
682,6.0
683,1.0
684,2.0
685,5.0
686,5.0
687,11.0
688,2.0
689,23.0
690,17.0
691,9.0
692,9.0
693,9.0
694,6.0
695,28.0
696,3.0
697,11.0
698,18.0
699,4.0
700,2.0
701,3.0
702,32.0
703,2.0
704,1.0
705,2.0
706,3.0
707,7.0
708,6.0
709,4.0
710,5.0
711,3.0
712,1.0
713,2.0
714,12.0
715,3.0
716,12.0
717,10.0
718,6.0
719,7.0
720,5.0
721,1.0
722,1.0
723,1.0
724,1.0
725,38.0
726,3.0
727,8.0
728,2.0
729,4.0
730,13.0
731,1.0
732,2.0
733,1.0
734,7.0
735,1.0
736,3.0
737,11.0
738,19.0
739,9.0
740,4.0
741,4.0
742,5.0
743,5.0
744,10.0
745,9.0
746,3.0
747,6.0
748,1.0
749,16.0
750,12.0
751,13.0
752,
753,1.0
754,2.0
755,3.0
756,1.0
757,6.0
758,6.0
759,6.0
760,1.0
761,3.0
762,1.0
763,2.0
764,10.0
765,1.0
766,17.0
767,16.0
768,7.0
769,7.0
770,10.0
771,4.0
772,1.0
773,5.0
774,39.0
775,9.0
776,42.0
777,4.0
778,8.0
779,3.0
780,7.0
781,5.0
782,4.0
783,7.0
784,2.0
785,7.0
786,4.0
787,4.0
788,10.0
789,5.0
790,4.0
791,2.0
792,4.0
793,3.0
794,1.0
795,2.0
796,1.0
797,18.0
798,11.0
799,5.0
800,11.0
801,16.0
802,7.0
803,8.0
804,1.0
805,7.0
806,3.0
807,
808,1.0
809,7.0
810,24.0
811,6.0
812,5.0
813,6.0
814,5.0
815,6.0
816,10.0
817,6.0
818,1.0
819,4.0
820,12.0
821,2.0
822,5.0
823,2.0
824,6.0
825,2.0
826,13.0
827,10.0
828,7.0
829,1.0
830,1.0
831,6.0
832,4.0
833,16.0
834,14.0
835,1.0
836,2.0
837,4.0
838,1.0
839,2.0
840,8.0
841,4.0
842,2.0
843,8.0
844,4.0
845,5.0
846,4.0
847,4.0
848,1.0
849,5.0
850,5.0
851,1.0
852,22.0
853,3.0
854,5.0
855,4.0
856,9.0
857,3.0
858,2.0
859,6.0
860,14.0
861,1.0
862,1.0
863,5.0
864,3.0
865,4.0
866,6.0
867,3.0
868,2.0
869,2.0
870,18.0
871,3.0
872,10.0
873,5.0
874,2.0
875,2.0
876,11.0
877,6.0
878,1.0
879,13.0
880,6.0
881,5.0
882,5.0
883,1.0
884,10.0
885,11.0
886,11.0
887,13.0
888,14.0
889,2.0
890,5.0
891,7.0
892,5.0
893,9.0
894,12.0
895,5.0
896,4.0
897,31.0
898,6.0
899,4.0
900,14.0
901,8.0
902,9.0
903,2.0
904,21.0
905,4.0
906,7.0
907,10.0
908,9.0
909,2.0
910,5.0
911,3.0
912,10.0
913,12.0
914,3.0
915,3.0
916,4.0
917,7.0
918,4.0
919,1.0
920,1.0
921,2.0
922,7.0
923,6.0
924,4.0
925,5.0
926,13.0
927,9.0
928,7.0
929,
930,14.0
931,5.0
932,29.0
933,4.0
934,1.0
935,5.0
936,12.0
937,4.0
938,3.0
939,7.0
940,1.0
941,3.0
942,1.0
943,22.0
944,7.0
945,1.0
946,6.0
947,2.0
948,3.0
949,10.0
950,10.0
951,5.0
952,5.0
953,11.0
954,10.0
955,8.0
956,2.0
957,1.0
958,9.0
959,3.0
960,2.0
961,12.0
962,1.0
963,1.0
964,18.0
965,7.0
966,2.0
967,1.0
968,2.0
969,3.0
970,4.0
971,8.0
972,40.0
973,2.0
974,1.0
975,5.0
976,8.0
977,8.0
978,2.0
979,8.0
980,
981,8.0
982,8.0
983,38.0
984,8.0
985,4.0
986,12.0
987,7.0
988,1.0
989,8.0
990,3.0
991,1.0
992,1.0
993,8.0
994,11.0
995,8.0
996,1.0
997,6.0
998,3.0
999,1.0
1000,7.0
1001,13.0
1002,10.0
1003,1.0
1004,1.0
1005,17.0
1006,3.0
1007,7.0
1008,1.0
1009,12.0
1010,2.0
1011,13.0
1012,5.0
1013,5.0
1014,1.0
1015,7.0
1016,7.0
1017,14.0
1018,6.0
1019,2.0
1020,5.0
1021,1.0
1022,7.0
1023,1.0
1024,4.0
1025,7.0
1026,7.0
1027,3.0
1028,10.0
1029,2.0
1030,6.0
1031,7.0
1032,9.0
1033,6.0
1034,1.0
1035,4.0
1036,7.0
1037,16.0
1038,1.0
1039,16.0
1040,8.0
1041,1.0
1042,7.0
1043,4.0
1044,1.0
1045,31.0
1046,2.0
1047,8.0
1048,6.0
1049,3.0
1050,2.0
1051,1.0
1052,9.0
1053,2.0
1054,3.0
1055,1.0
1056,6.0
1057,20.0
1058,17.0
1059,9.0
1060,10.0
1061,9.0
1062,26.0
1063,6.0
1064,16.0
1065,8.0
1066,1.0
1067,4.0
1068,5.0
1069,2.0
1070,5.0
1071,9.0
1072,11.0
1073,9.0
1074,17.0
1075,8.0
1076,6.0
1077,2.0
1078,6.0
1079,4.0
1080,1.0
1081,12.0
1082,1.0
1083,5.0
1084,7.0
1085,5.0
1086,4.0
1087,9.0
1088,10.0
1089,3.0
1090,1.0
1091,4.0
1092,20.0
1093,1.0
1094,8.0
1095,10.0
1096,12.0
1097,3.0
1098,7.0
1099,12.0
1100,8.0
1101,56.0
1102,30.0
1103,4.0
1104,1.0
1105,3.0
1106,2.0
1107,4.0
1108,9.0
1109,8.0
1110,10.0
1111,8.0
1112,2.0
1113,8.0
1114,1.0
1115,10.0
1116,2.0
1117,1.0
1118,22.0
1119,11.0
1120,2.0
1121,7.0
1122,20.0
1123,2.0
1124,16.0
1125,2.0
1126,2.0
1127,1.0
1128,4.0
1129,1.0
1130,1.0
1131,8.0
1132,2.0
1133,20.0
1134,3.0
1135,1.0
1136,6.0
1137,7.0
1138,6.0
1139,7.0
1140,6.0
1141,6.0
1142,18.0
1143,3.0
